2016-03-05 00:00:00,492
2016-03-05 01:00:00,535
2016-03-05 02:00:00,497
2016-03-05 03:00:00,483
2016-03-05 04:00:00,412
2016-03-05 05:00:00,414
2016-03-05 06:00:00,1336
2016-03-05 07:00:00,2231
2016-03-05 08:00:00,582
2016-03-05 09:00:00,268
2016-03-05 10:00:00,1824
2016-03-05 11:00:00,483
2016-03-05 12:00:00,1692
2016-03-05 13:00:00,1643
2016-03-05 14:00:00,330
2016-03-05 15:00:00,367
2016-03-05 16:00:00,227
2016-03-05 17:00:00,416
2016-03-05 18:00:00,377
2016-03-05 19:00:00,271
2016-03-05 20:00:00,393
2016-03-05 21:00:00,404
2016-03-05 22:00:00,287
2016-03-05 23:00:00,482
