2016-11-25 00:00:00,430
2016-11-25 01:00:00,587
2016-11-25 02:00:00,661
2016-11-25 03:00:00,502
2016-11-25 04:00:00,457
2016-11-25 05:00:00,458
2016-11-25 06:00:00,457
2016-11-25 07:00:00,443
2016-11-25 08:00:00,471
2016-11-25 09:00:00,455
2016-11-25 10:00:00,446
2016-11-25 11:00:00,571
2016-11-25 12:00:00,575
2016-11-25 13:00:00,464
2016-11-25 14:00:00,634
2016-11-25 15:00:00,603
2016-11-25 16:00:00,1159
2016-11-25 17:00:00,1639
2016-11-25 18:00:00,1412
2016-11-25 19:00:00,945
2016-11-25 20:00:00,1458
2016-11-25 21:00:00,1359
2016-11-25 22:00:00,887
2016-11-25 23:00:00,841
